Datum/Zeit,         Temp1,          Temp2,          Druck1,         Druck2
20220906_133603,   27.18,       27.38,      990.5735259924811,    991.0673351496705
20220906_133604,   27.18,       27.37,      990.5601625809456,    991.0027126998763
20220906_133606,   27.17,       27.38,      990.5561393641053,    991.0454985588012
20220906_133607,   27.18,       27.37,      990.5735259924811,    991.0245489852848
20220906_133609,   27.18,       27.37,      990.607990117994,    991.0066406396701
20220906_133611,   27.17,       27.37,      990.6018554730051,    991.0202936253387
20220906_133612,   27.17,       27.37,      990.7432269260952,    991.1501455613877
20220906_133614,   27.17,       27.38,      990.6723861017052,    991.1717033349419
20220906_133616,   27.17,       27.37,      990.7087618659518,    991.1550070687196
20220906_133617,   27.17,       27.37,      990.756590369529,    991.2029343606706
20220906_133619,   27.17,       27.38,      990.703136632713,    991.1283094593293
20220906_133620,   27.17,       27.37,      990.7165000576874,    991.1637969634872
20220906_133622,   27.17,       27.37,      990.6857494601267,    991.1110077850958
20220906_133624,   27.17,       27.36,      990.6953985452976,    991.1334495628695
20220906_133625,   27.17,       27.37,      990.7047380143432,    991.1637969634872
20220906_133627,   27.16,       27.36,      990.6739877501034,    991.0991740579976
20220906_133629,   27.17,       27.36,      990.6245585081925,    991.0818727996707
20220906_133630,   27.16,       27.36,      990.5900947293194,    991.0682210097922
20220906_133632,   27.16,       27.35,      990.5804454803285,    991.0254352089987
20220906_133634,   27.15,       27.35,      990.5646615914593,    991.0123897366522
20220906_133635,   27.15,       27.36,      990.6063523054016,    991.0557817074082
20220906_133637,   27.14,       27.35,      990.562550014858,    991.0645716612207
20220906_133638,   27.15,       27.35,      990.5929894953815,    991.0521322890346
20220906_133640,   27.14,       27.34,      990.6026382762423,    991.0305759487932
20220906_133642,   27.14,       27.34,      990.59861474998,    991.0958021460633
20220906_133643,   27.14,       27.33,      990.5678659324994,    991.0791065227577
20220906_133645,   27.14,       27.34,      990.5775146136664,    991.0354374427449
20220906_133647,   27.14,       27.33,      990.6213165506283,    991.0096259078612
20220906_133648,   27.13,       27.33,      990.6151799099744,    991.0399714136512
20220906_133650,   27.13,       27.33,      990.5791162012048,    991.0138813702299
20220906_133652,   27.12,       27.33,      990.5710692190164,    991.0748507940824
20220906_133653,   27.12,       27.33,      990.6472195459299,    991.0660614805255
20220906_133655,   27.12,       27.33,      990.5804080224714,    991.0578774959955
20220906_133656,   27.11,       27.32,      990.6103338549068,    991.0624110147636
20220906_133658,   27.11,       27.32,      990.6087333659547,    991.0624110147636
20220906_133700,   27.11,       27.32,      990.6678058298717,    991.158585042279
20220906_133701,   27.11,       27.31,      990.7439541304291,    991.1892068767563
20220906_133703,   27.11,       27.32,      990.7078920844929,    991.2107642119618
20220906_133705,   27.1,       27.31,      990.6653815070028,    991.1892068767563
20220906_133706,   27.1,       27.32,      990.7001534330394,    991.1755585995292
20220906_133708,   27.11,       27.31,      990.7573161918167,    991.1719059854362
20220906_133710,   27.09,       27.31,      990.6402574382741,    991.132772113911
20220906_133711,   27.09,       27.31,      990.6402574382741,    991.1458167318897
20220906_133713,   27.08,       27.31,      990.6111099100676,    991.0805937006241
20220906_133715,   27.09,       27.31,      990.4588188931701,    990.9804925590447
20220906_133716,   27.08,       27.31,      990.4563969719445,    990.9592646046866
20220906_133718,   27.08,       27.29,      990.4737815653863,    990.9644037977404
20220906_133720,   27.07,       27.3,      990.4620212327281,    990.9422433060549
20220906_133721,   27.08,       27.29,      990.4964809396231,    990.9428488644631
20220906_133723,   27.07,       27.29,      990.448660020636,    990.9516376036703
20220906_133724,   27.06,       27.28,      990.49163485505,    990.9088557225006
20220906_133726,   27.05,       27.27,      990.4397917795685,    990.9310154327095
20220906_133728,   27.05,       27.26,      990.4705366548073,    990.9270377021184
20220906_133729,   27.05,       27.25,      990.5028815292661,    990.9494738433568
20220906_133731,   27.04,       27.26,      990.5178415906364,    990.953729351169
